merk;handelsbenaming;catalogusprijs;eerste_kleur
AUDI;AUDI A1;25581.0;ROOD
AUDI;AUDI A1;23737.0;ROOD
AUDI;AUDI A1;19982.0;ROOD
AUDI;AUDI A3;38403.0;ROOD
AUDI;AUDI A1;36080.0;ROOD
AUDI;AUDI A1;29675.0;ROOD
AUDI;AUDI A1;20409.0;ROOD
AUDI;AUDI A1;24851.0;ROOD
AUDI;AUDI A1;22199.0;ROOD
AUDI;AUDI A3;31563.0;ROOD
AUDI;AUDI A1;25151.0;ROOD
AUDI;A1;32314.0;ROOD
AUDI;A1 SPORTBACK;27647.0;ROOD
AUDI;A1 SPORTBACK;24179.0;ROOD
AUDI;A5 SPORTBACK;49973.0;ROOD
AUDI;A1;30505.0;ROOD
AUDI;AUDI A4;45894.0;ROOD
AUDI;AUDI A3;29439.0;ROOD
AUDI;AUDI A1;25941.0;ROOD
AUDI;AUDI A1;24930.0;ROOD
AUDI;AUDI A1;22022.0;ROOD
AUDI;AUDI A3;26523.0;ROOD
AUDI;AUDI TT;42690.0;ROOD
AUDI;AUDI A3;25791.0;ROOD
AUDI;AUDI A3;53056.0;ROOD
AUDI;A3 SPORTBACK;26733.0;ROOD
AUDI;AUDI TT;48944.0;ROOD
AUDI;AUDI A3;33003.0;ROOD
AUDI;AUDI A1;19982.0;ROOD
AUDI;AUDI A1;27385.0;ROOD
AUDI;AUDI A1;19320.0;ROOD
AUDI;AUDI A1;23817.0;ROOD
AUDI;AUDI A4;34306.0;ROOD
AUDI;AUDI A1;20208.0;ROOD
AUDI;A4 AVANT;39991.0;ROOD
AUDI;AUDI A3;31505.0;ROOD
AUDI;AUDI A1;27659.0;ROOD
AUDI;AUDI A1;27221.0;ROOD
AUDI;AUDI A1;22789.0;ROOD
AUDI;A1 SPORTBACK;27674.0;ROOD
AUDI;AUDI A4;40205.0;ROOD
AUDI;AUDI A1;18567.0;ROOD
AUDI;AUDI A1;19030.0;ROOD
AUDI;AUDI A3;34396.0;ROOD
AUDI;AUDI A1;22199.0;ROOD
AUDI;AUDI A4;42768.0;ROOD
AUDI;A1 SPORTBACK;27185.0;ROOD
AUDI;A1 SPORTBACK;22142.0;ROOD
AUDI;AUDI A5;55234.0;ROOD
AUDI;AUDI A1;32156.0;ROOD
AUDI;AUDI A1;19726.0;ROOD
AUDI;AUDI A3;38729.0;ROOD
AUDI;AUDI A1;20322.0;ROOD
AUDI;AUDI A1;23106.0;ROOD
AUDI;AUDI A1;25570.0;ROOD
AUDI;AUDI A1;29412.0;ROOD
AUDI;A1 SPORTBACK;22216.0;ROOD
AUDI;A1 SPORTBACK;26547.0;ROOD
AUDI;A1 SPORTBACK;21452.0;ROOD
AUDI;A1 SPORTBACK;26802.0;ROOD
AUDI;A1 SPORTBACK;30347.0;ROOD
AUDI;AUDI TT;61232.0;ROOD
AUDI;AUDI A1;18241.0;ROOD
AUDI;AUDI A1;25062.0;ROOD
AUDI;AUDI A1;20943.0;ROOD
AUDI;AUDI A4;43394.0;ROOD
AUDI;A1;32729.0;ROOD
AUDI;A3;28549.0;ROOD
AUDI;AUDI A3 CABRIOLET;42307.0;ROOD
AUDI;AUDI A4;52240.0;ROOD
AUDI;AUDI A4;49010.0;ROOD
AUDI;AUDI A1;27221.0;ROOD
AUDI;AUDI A1;21863.0;ROOD
AUDI;AUDI A1;24086.0;ROOD
AUDI;AUDI A1;20686.0;ROOD
AUDI;AUDI A3;34998.0;ROOD
AUDI;AUDI A1;25498.0;ROOD
AUDI;AUDI A1;19726.0;ROOD
AUDI;AUDI A1;19320.0;ROOD
AUDI;AUDI A3 CABRIOLET;44349.0;ROOD
AUDI;AUDI A1;23300.0;ROOD
AUDI;AUDI A1;20878.0;ROOD
AUDI;A3;31026.0;ROOD
AUDI;AUDI TT;48944.0;ROOD
AUDI;AUDI A3;30486.0;ROOD
AUDI;AUDI A1;19898.0;ROOD
AUDI;AUDI A1;31133.0;ROOD
AUDI;AUDI A1;27221.0;ROOD
AUDI;AUDI A1;24244.0;ROOD
