kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;plaats_chassisnummer;maximum_last_onder_de_vooras_sen_tezamen_koppeling;vervaldatum_apk;toegestane_maximum_massa_voertuig;laadvermogen;vervaldatum_apk_dt;aantal_zitplaatsen;cilinderinhoud;type_gasinstallatie;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;bruto_bpm;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid
0003VX;Personenauto;OPEL;MANTA;19930828;Niet geregistreerd;BRUIN;Niet geregistreerd;4;932;1032;19721128;19721128;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;1997;Geen oordeel;06;Ja;1993-08-28T00:00:00.000;1972-11-28T00:00:00.000;1972-11-28T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0008JK;Personenauto;OPEL;GT;20141030;Niet geregistreerd;Niet geregistreerd;Niet geregistreerd;4;930;1030;19690527;19690527;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2019;Geen oordeel;01;Ja;2014-10-30T00:00:00.000;1969-05-27T00:00:00.000;1969-05-27T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0009PH;Personenauto;OPEL;MANTA;20110226;Niet geregistreerd;ROOD;Niet geregistreerd;4;914;1014;19701005;19701005;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;2011-02-26T00:00:00.000;1970-10-05T00:00:00.000;1970-10-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0011JK;Personenauto;OPEL;GT;19870610;Niet geregistreerd;GRIJS;Niet geregistreerd;4;930;1030;19690605;19690605;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;1987-06-10T00:00:00.000;1969-06-05T00:00:00.000;1969-06-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0011UE;Personenauto;OPEL;KADETT;20150617;Niet geregistreerd;GEEL;Niet geregistreerd;4;788;888;19720505;19720505;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;242;Nee;Nee;Nee;0;2015;Geen oordeel;01;Ja;2015-06-17T00:00:00.000;1972-05-05T00:00:00.000;1972-05-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op slotplaat onder motorkap;0;;;;;;;;;;;;;;;;;;
0011VK;Personenauto;OPEL;MANTA;19820305;Niet geregistreerd;WIT;Niet geregistreerd;4;918;1018;19730323;19730323;Geen verstrekking in Open Data;Nee;2;4;;;;;M1;;;0.00;243;Nee;Nee;Nee;;;Niet geregistreerd;NG;Ja;1982-03-05T00:00:00.000;1973-03-23T00:00:00.000;1973-03-23T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;0;;;;;;;;;;;;;;;;;;
0013JK;Personenauto;OPEL;GT;19990306;Niet geregistreerd;BLAUW;Niet geregistreerd;4;930;1030;19690605;19690605;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;243;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;1999-03-06T00:00:00.000;1969-06-05T00:00:00.000;1969-06-05T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0013PL;Personenauto;OPEL;MANTA;20090910;Niet geregistreerd;BLAUW;Niet geregistreerd;4;932;1032;19701216;19701216;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;244;Nee;Nee;Nee;0;2019;Geen oordeel;01;Ja;2009-09-10T00:00:00.000;1970-12-16T00:00:00.000;1970-12-16T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0013ZB;Bedrijfsauto;OPEL;L2276H;20000307;voor vervoer voertuigen;N.v.t.;N.v.t.;6;2285;2385;19730806;19730806;Geen verstrekking in Open Data;Nee;;4;;;;214;N1;3450;;0.03;375;Nee;Nee;Nee;;;Niet geregistreerd;NG;Ja;2000-03-07T00:00:00.000;1973-08-06T00:00:00.000;1973-08-06T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;tegen r. balk 034 cm v. 2e veerh.;0;20010306;3450;1165;2001-03-06T00:00:00.000;;;;;;;;;;;;;;
0015NN;Personenauto;OPEL;GT;19990820;Niet geregistreerd;BLAUW;Niet geregistreerd;4;940;1040;19700915;19700915;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;;;0.00;244;Nee;Nee;Nee;;2012;Logisch;00;Ja;1999-08-20T00:00:00.000;1970-09-15T00:00:00.000;1970-09-15T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;op l. watergoot onder motorkap;0;;;;;;;;;;;;;;;;;;
