kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;type_gasinstallatie
00EU85;Personenauto;AUDI;100 L;20060929;20130803;Niet geregistreerd;ORANJE;Niet geregistreerd;4;1046;1146;19750123;19750123;Geen verstrekking in Open Data;Nee;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;0;0;0.00;268;Nee;Nee;Nee;0;2005;Logisch;00;Ja;2006-09-29T00:00:00.000;2013-08-03T00:00:00.000;1975-01-23T00:00:00.000;1975-01-23T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;
00GBD8;Personenauto;AUDI;AUDI A3 CABRIOLET;20230905;20161013;cabriolet;ZWART;Niet geregistreerd;4;1430;1530;20080523;20080523;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. op voorwielscherm onder motorkap;1955;0;0.08;258;Nee;Nee;Nee;3355;2022;Logisch;00;Ja;2023-09-05T00:00:00.000;2016-10-13T00:00:00.000;2008-05-23T00:00:00.000;2008-05-23T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;12174;4;1798;1955;750;1400;49356;8P;e1*2001/116*0456*02;KBZBF1;FD62E011R8P600GG;0;D;;;;;
00GBD9;Personenauto;AUDI;AUDI A5;20230529;20210728;coupe;GRIJS;Niet geregistreerd;6;1470;1570;20080529;20080529;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. schroefveerkoker onder motorkap;1995;0;0.12;276;Nee;Nee;Nee;3725;2023;Logisch;00;Ja;2023-05-29T00:00:00.000;2021-07-28T00:00:00.000;2008-05-29T00:00:00.000;2008-05-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;19218;4;3197;1995;750;1700;76214;B8;e1*2001/116*0430*06;CCALAF1;FAVW0011R8T60;0;D;;;;;
00GBV7;Personenauto;AUDI;AUDI A4;20230715;20210716;stationwagen;GRIJS;Niet geregistreerd;4;1485;1585;20080603;20080603;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;op r. schroefveerkoker onder motorkap;2080;0;0.07;282;Nee;Nee;Nee;3450;2022;Logisch;00;Ja;2023-07-15T00:00:00.000;2021-07-16T00:00:00.000;2008-06-03T00:00:00.000;2008-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;13326;5;1798;2080;750;1300;56842;B8;e1*2001/116*0430*06;ACABBF1;FAVW0020R8K60;0;B;;;;;
00GBV9;Personenauto;AUDI;AUDI TT;20230426;20200625;cabriolet;GRIJS;Niet geregistreerd;6;1465;1565;20070308;20080528;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;1810;0;0.12;246;Nee;Nee;Nee;0;2022;Geen oordeel;05;Ja;2023-04-26T00:00:00.000;2020-06-25T00:00:00.000;2007-03-08T00:00:00.000;2008-05-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;17817;2;3189;1810;;;;;e1*2001/116*0369*03;RBUBQ1;QD62E067R8J91;0;F;;;;;
00GDJ3;Personenauto;AUDI;AUDI A4;20221222;20221117;stationwagen;GRIJS;Niet geregistreerd;4;1485;1585;20080603;20080603;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;op r. schroefveerkoker onder motorkap;2080;0;0.07;282;Nee;Nee;Nee;3450;2022;Logisch;00;Ja;2022-12-22T00:00:00.000;2022-11-17T00:00:00.000;2008-06-03T00:00:00.000;2008-06-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10544;5;1798;2080;750;1300;46233;B8;e1*2001/116*0430*06;ACABBF1;FAVW0020R8K60;0;B;;;;;
00GHZ2;Personenauto;AUDI;AUDI A4;20230502;20230217;stationwagen;GRIJS;Niet geregistreerd;4;1445;1545;20080711;20080711;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2040;0;0.08;282;Nee;Nee;Nee;3410;2023;Logisch;00;Ja;2023-05-02T00:00:00.000;2023-02-17T00:00:00.000;2008-07-11T00:00:00.000;2008-07-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;9858;5;1798;2040;750;1300;43617;B8;e1*2001/116*0430*07;ACDHBF1;FM6B1001R8K607MB;0;B;;;;;
00GJD4;Personenauto;AUDI;AUDI A6 ALLROAD QUATTRO;20230504;20220507;stationwagen;BEIGE;Niet geregistreerd;6;1775;1875;20070625;20081128;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;midden tegen schutbord onder motorkap;2430;0;0.10;285;Nee;Nee;Nee;4330;2022;Geen oordeel;05;Ja;2023-05-04T00:00:00.000;2022-05-07T00:00:00.000;2007-06-25T00:00:00.000;2008-11-28T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;22372;5;3123;2430;750;1900;;;e1*2001/116*0254*15;HAUKQ1;QA6LF0R4FH00GG;0;F;;;;;
00GJL2;Personenauto;AUDI;AUDI A3 CABRIOLET;20230926;20150923;cabriolet;ZWART;Niet geregistreerd;4;1460;1560;20080806;20080806;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. voorwielscherm;1985;0;0.09;258;Nee;Nee;Nee;3385;2022;Logisch;00;Ja;2023-09-26T00:00:00.000;2015-09-23T00:00:00.000;2008-08-06T00:00:00.000;2008-08-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;15602;4;1984;1985;750;1400;61300;8P;e1*2001/116*0456*03;KCAWBF1;FD62E016R8P600GG;0;D;;;;;
00GJL5;Personenauto;AUDI;AUDI A4;20231022;20220921;sedan;GRIJS;Niet geregistreerd;4;1425;1525;20080801;20080801;Geen verstrekking in Open Data;Ja;4;4;0;0;0;0;M1;r. schroefveerkoker;2000;0;0.08;282;Nee;Nee;Nee;3370;2022;Logisch;00;Ja;2023-10-22T00:00:00.000;2022-09-21T00:00:00.000;2008-08-01T00:00:00.000;2008-08-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;10039;5;1798;2000;750;1300;44309;B8;e1*2001/116*0430*07;LCDHBF1;FAVW0020R8K607MB;0;B;;;;;
