kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;aantal_zitplaatsen;cilinderinhoud;maximum_trekken_massa_geremd;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;vervaldatum_apk;vervaldatum_apk_dt;bruto_bpm;toegestane_maximum_massa_voertuig;maximum_massa_trekken_ongeremd;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;zuinigheidsclassificatie;type_gasinstallatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
0028VR;Personenauto;CITROEN;D SPECIAL;19980620;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1338;1438;19721215;19721215;Geen verstrekking in Open Data;Ja;4;4;M1;r. op watergoot onder voorruit;0.00;313;Nee;Nee;Nee;2021;Geen oordeel;01;Ja;1998-06-20T00:00:00.000;1972-12-15T00:00:00.000;1972-12-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;
0068UK;Personenauto;CITROEN;D SUPER;19990130;Niet geregistreerd;BLAUW;WIT;4;1340;1440;19720615;19720615;Geen verstrekking in Open Data;Ja;4;4;M1;r. op watergoot onder voorruit;0.00;313;Nee;Nee;Nee;2022;Logisch;00;Ja;1999-01-30T00:00:00.000;1972-06-15T00:00:00.000;1972-06-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;
0093SK;Personenauto;CITROEN;YN 4 BL DYANE 4;20221028;sedan;BLAUW;Niet geregistreerd;2;577;677;19710806;19710806;Geen verstrekking in Open Data;Ja;4;4;M1;r. bodemplaat a. voorzitting;0.03;240;Nee;Nee;Nee;2022;Geen oordeel;01;Ja;2022-10-28T00:00:00.000;1971-08-06T00:00:00.000;1971-08-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;435;400;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
00AE32;Personenauto;CITROEN;D SPECIAL;20181029;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1270;1370;19731001;19731001;Geen verstrekking in Open Data;Nee;4;4;M1;r. in watergoot onder voorruit;0.00;313;Nee;Nee;Nee;2008;Geen oordeel;07;Ja;2018-10-29T00:00:00.000;1973-10-01T00:00:00.000;1973-10-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;0;0;0;0;0;0;0;20100112;2010-01-12T00:00:00.000;;;;;;;;;;;;;;
00GBX7;Personenauto;CITROEN;BERLINGO;20190904;stationwagen;BLAUW;Niet geregistreerd;4;1372;1472;20080529;20080529;Geen verstrekking in Open Data;Ja;0;4;M1;tegen r. schroefveerkoker onder motorkap;0.04;273;Nee;Nee;Nee;2022;Logisch;00;Ja;2019-09-04T00:00:00.000;2008-05-29T00:00:00.000;2008-05-29T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1587;1200;0;0;438;0;2025;0;2925;20230530;2023-05-30T00:00:00.000;4643;2025;735;20690;7*****;e2*2001/116*0366*00;JNFR;C;0;0.00;D;;;
00GFB4;Personenauto;CITROEN;XM V6.24 EXCLUSIVE;20130611;hatchback;BLAUW;Niet geregistreerd;6;1533;1633;19950306;20080607;Geen verstrekking in Open Data;Nee;4;4;M1;r. in watergoot onder motorkap;0.09;285;Nee;Nee;Nee;2018;Geen oordeel;05;Ja;2013-06-11T00:00:00.000;1995-03-06T00:00:00.000;2008-06-07T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;2963;1500;0;0;0;0;2000;0;3500;20191122;2019-11-22T00:00:00.000;12539;2000;750;;;;;;;;;;;
00GFL7;Personenauto;CITROEN;CITROEN C1;20210221;hatchback;BLAUW;Niet geregistreerd;3;780;880;20080610;20080610;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.06;234;Nee;Nee;Nee;2022;Logisch;00;Ja;2021-02-21T00:00:00.000;2008-06-10T00:00:00.000;2008-06-10T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1190;0;0;20230904;2023-09-04T00:00:00.000;718;1190;;10787;P;e11*2001/116*0238*05;NCFA;C;0;;A;;;
00GHG1;Personenauto;CITROEN;CITROEN C1;20110719;hatchback;BLAUW;Niet geregistreerd;3;775;875;20080620;20080620;Geen verstrekking in Open Data;Ja;2;4;M1;r. op bodemplaat by voorzitting;0.06;234;Nee;Nee;Nee;2022;Logisch;00;Ja;2011-07-19T00:00:00.000;2008-06-20T00:00:00.000;2008-06-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1180;0;0;20230620;2023-06-20T00:00:00.000;868;1180;;11359;;e11*2001/116*0238*04;MCFA;C;0;;A;;;
00GKJ7;Personenauto;CITROEN;C5;20161223;stationwagen;BLAUW;Niet geregistreerd;4;1670;1770;20080716;20080716;Geen verstrekking in Open Data;Ja;4;4;M1;r. in watergoot onder motorkap;0.06;282;Nee;Nee;Nee;2022;Logisch;00;Ja;2016-12-23T00:00:00.000;2008-07-16T00:00:00.000;2008-07-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1997;1500;0;0;483;0;2326;0;3526;20230314;2023-03-14T00:00:00.000;12262;2326;750;46229;R;e2*2001/116*0360*01;WRHR;J;0;0.00;D;;;
00GM26;Personenauto;CITROEN;B 14 G;19960518;Niet geregistreerd;BLAUW;ZWART;4;1210;1310;19250630;19750711;Geen verstrekking in Open Data;Nee;4;4;M1;l. tegen schutbord onder motorkap;0.00;288;Nee;Nee;Nee;1995;Geen oordeel;05;Ja;1996-05-18T00:00:00.000;1925-06-30T00:00:00.000;1975-07-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;
00GPS6;Personenauto;CITROEN;CITROEN C1;20140326;hatchback;BLAUW;Niet geregistreerd;3;780;880;20080809;20080809;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.06;234;Nee;Ja;Nee;2022;Logisch;00;Ja;2014-03-26T00:00:00.000;2008-08-09T00:00:00.000;2008-08-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1190;0;0;20230812;2023-08-12T00:00:00.000;960;1190;;11709;P;e11*2001/116*0238*05;NCFA;C;0;;A;;;
00GXN8;Personenauto;CITROEN;C5;20230209;stationwagen;BLAUW;Niet geregistreerd;6;1736;1836;20080926;20080926;Geen verstrekking in Open Data;Ja;4;4;M1;r. in watergoot onder motorkap;0.08;282;Nee;Nee;Nee;2023;Logisch;00;Ja;2023-02-09T00:00:00.000;2008-09-26T00:00:00.000;2008-09-26T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;2946;1600;0;0;483;0;2366;0;3666;20240210;2024-02-10T00:00:00.000;14377;2366;750;62253;R;e2*2001/116*0360*01;WXFV;J;0;0.00;E;;;
00HDN5;Personenauto;CITROEN;CITROEN C1;20181031;hatchback;BLAUW;Niet geregistreerd;3;780;880;20081025;20081025;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.06;234;Nee;Ja;Nee;2022;Logisch;00;Ja;2018-10-31T00:00:00.000;2008-10-25T00:00:00.000;2008-10-25T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1190;0;0;20231109;2023-11-09T00:00:00.000;613;1190;;10386;P;e11*2001/116*0238*05;NCFA;C;0;;A;;;
00HJX8;Personenauto;CITROEN;C5;20200408;stationwagen;BLAUW;Niet geregistreerd;4;1594;1694;20090102;20090102;Geen verstrekking in Open Data;Ja;4;4;M1;r. in watergoot onder motorkap;0.06;282;Nee;Nee;Nee;2022;Logisch;00;Ja;2020-04-08T00:00:00.000;2009-01-02T00:00:00.000;2009-01-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1997;1800;0;0;483;0;2224;0;3724;20230415;2023-04-15T00:00:00.000;9636;2224;750;39730;R;e2*2001/116*0360*01;WRFJ;F;0;0.00;D;;;
00HL25;Personenauto;CITROEN;DYANE 6;20000314;Niet geregistreerd;BLAUW;Niet geregistreerd;2;603;703;19751031;19751031;Geen verstrekking in Open Data;Nee;4;4;M1;op bodemplaat v. voorzitting;0.00;240;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2000-03-14T00:00:00.000;1975-10-31T00:00:00.000;1975-10-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;
00HLD8;Personenauto;CITROEN;XSARA PICASSO;20210429;MPV;BLAUW;Niet geregistreerd;4;1243;1343;20090106;20090106;Geen verstrekking in Open Data;Ja;4;4;M1;r. v. schroefveerkoker op randprofiel;0.06;276;Nee;Nee;Nee;2022;Logisch;00;Ja;2021-04-29T00:00:00.000;2009-01-06T00:00:00.000;2009-01-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1587;1200;0;0;428;0;1800;0;3000;20230428;2023-04-28T00:00:00.000;5141;1800;670;22420;C*****;e2*98/14*0153*20;HNFU;C;0;;D;;;
00HNB8;Personenauto;CITROEN;BERLINGO;20211113;stationwagen;BLAUW;Niet geregistreerd;4;1372;1472;20090124;20090124;Geen verstrekking in Open Data;Ja;0;4;M1;tegen r. schroefveerkoker onder motorkap;0.04;273;Nee;Nee;Nee;2022;Logisch;00;Ja;2021-11-13T00:00:00.000;2009-01-24T00:00:00.000;2009-01-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1587;1200;0;0;438;0;2025;0;2925;20231112;2023-11-12T00:00:00.000;4916;2025;735;22119;7*****;e2*2001/116*0366*00;JNFR;C;0;0.00;D;;;
00HPJ3;Personenauto;CITROEN;CITROEN C1;20180120;hatchback;BLAUW;Niet geregistreerd;3;780;880;20090124;20090124;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.06;234;Nee;Nee;Nee;2023;Logisch;00;Ja;2018-01-20T00:00:00.000;2009-01-24T00:00:00.000;2009-01-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1190;0;0;20240205;2024-02-05T00:00:00.000;;1190;;9110;P*****;e11*2001/116*0238*06;NCFA;C;0;;A;;;
00HVH1;Personenauto;CITROEN;CITROEN C1;20170622;hatchback;BLAUW;Niet geregistreerd;3;780;880;20090306;20090306;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.06;234;Nee;Ja;Nee;2022;Logisch;00;Ja;2017-06-22T00:00:00.000;2009-03-06T00:00:00.000;2009-03-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1190;0;0;20230413;2023-04-13T00:00:00.000;;1190;;10880;P*****;e11*2001/116*0238*06;NCFA;C;0;;A;;;
00HXT8;Personenauto;CITROEN;C3 PICASSO;20221011;MPV;BLAUW;Niet geregistreerd;4;1234;1334;20090324;20090324;Geen verstrekking in Open Data;Ja;4;4;M1;r. deurstyl;0.05;254;Nee;Nee;Nee;2022;Logisch;00;Ja;2022-10-11T00:00:00.000;2009-03-24T00:00:00.000;2009-03-24T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1397;1100;0;0;408;0;1742;0;2592;20231127;2023-11-27T00:00:00.000;4728;1742;650;22680;SH****;e2*2001/116*0371*00;8FS;C/1;0;;C;;;
00HZH3;Personenauto;CITROEN;C3 PICASSO;20230130;MPV;BLAUW;Niet geregistreerd;4;1234;1334;20090327;20090327;Geen verstrekking in Open Data;Ja;4;4;M1;r. deurstyl;0.05;254;Nee;Nee;Nee;2022;Logisch;00;Ja;2023-01-30T00:00:00.000;2009-03-27T00:00:00.000;2009-03-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1397;1100;0;0;408;0;1742;0;2592;20230703;2023-07-03T00:00:00.000;4728;1742;650;22680;SH****;e2*2001/116*0371*00;8FS;C/1;0;;C;;;
00HZX3;Personenauto;CITROEN;C4 PICASSO;20150515;stationwagen;BLAUW;Niet geregistreerd;4;1486;1586;20090416;20090416;Geen verstrekking in Open Data;Ja;4;4;M1;r. tegen schroefveerkoker onder motorkap;0.06;273;Nee;Nee;Nee;2022;Logisch;00;Ja;2015-05-15T00:00:00.000;2009-04-16T00:00:00.000;2009-04-16T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1997;1500;0;0;447;0;2040;2;3440;20230513;2023-05-13T00:00:00.000;6943;2040;750;31485;;e2*2001/116*0345*01;DRFJ;H/P;0;;C;;;
00JFN2;Personenauto;CITROEN;C5;20120628;stationwagen;BLAUW;Niet geregistreerd;4;1553;1653;20090506;20090506;Geen verstrekking in Open Data;Ja;4;4;M1;r. in watergoot onder motorkap;0.06;282;Nee;Nee;Nee;2022;Logisch;00;Ja;2012-06-28T00:00:00.000;2009-05-06T00:00:00.000;2009-05-06T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1997;1790;0;0;483;0;2183;2;3683;20230705;2023-07-05T00:00:00.000;8250;2183;750;36680;R*****;e2*2001/116*0360*04;WRFJ;C;0;;C;;;
00JGF1;Personenauto;CITROEN;CITROEN C1;20090513;hatchback;BLAUW;Niet geregistreerd;3;815;915;20090513;20090513;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.05;234;Nee;Ja;Nee;2022;Logisch;00;Ja;2009-05-13T00:00:00.000;2009-05-13T00:00:00.000;2009-05-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1190;0;0;20230507;2023-05-07T00:00:00.000;;1190;;10685;P*****;e11*2001/116*0238*06;NCFA;C/P;0;;A;;;
00JGS8;Personenauto;CITROEN;C3 PICASSO;20201028;MPV;BLAUW;Niet geregistreerd;4;1234;1334;20090617;20090617;Geen verstrekking in Open Data;Ja;4;4;M1;r. deurstyl;0.05;254;Nee;Nee;Nee;2022;Logisch;00;Ja;2020-10-28T00:00:00.000;2009-06-17T00:00:00.000;2009-06-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;5;1397;1100;0;0;408;0;1742;0;2592;20231027;2023-10-27T00:00:00.000;4364;1742;650;21234;SH****;e2*2001/116*0371*00;8FS;C/1;0;;C;;;
00JKD8;Personenauto;CITROEN;CITROEN C1;20180814;hatchback;BLAUW;Niet geregistreerd;3;780;880;20090620;20090620;Geen verstrekking in Open Data;Ja;4;4;M1;r. op bodemplaat by voorzitting;0.06;234;Nee;Ja;Nee;2022;Logisch;00;Ja;2018-08-14T00:00:00.000;2009-06-20T00:00:00.000;2009-06-20T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;4;998;;0;0;344;0;1190;0;0;20230830;2023-08-30T00:00:00.000;;1190;;10880;P*****;e11*2001/116*0238*06;NCFA;C;0;;A;;;
