kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;plaats_chassisnummer;maximum_last_onder_de_vooras_sen_tezamen_koppeling;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximum_ondersteunende_snelheid;maximale_constructiesnelheid;hoogte_voertuig
0002ZA;Personenauto;FERRARI;DINO 246 GT COUPE;20240421;20110817;Niet geregistreerd;ROOD;Niet geregistreerd;6;1160;1260;19730613;19730613;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;234;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2024-04-21T00:00:00.000;2011-08-17T00:00:00.000;1973-06-13T00:00:00.000;1973-06-13T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;
0036XA;Personenauto;FERRARI;DINO 246 GT SPIDER;20240615;20040826;Niet geregistreerd;GRIJS;Niet geregistreerd;6;1185;1285;19730227;19730227;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;234;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2024-06-15T00:00:00.000;2004-08-26T00:00:00.000;1973-02-27T00:00:00.000;1973-02-27T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;
00HFZ3;Personenauto;FERRARI;348 TB U9;20180602;20081031;coupe;ROOD;Niet geregistreerd;8;1460;1560;19900606;20081031;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1650;0;0.14;245;Nee;Nee;Nee;0;2017;Geen oordeel;05;Ja;2018-06-02T00:00:00.000;2008-10-31T00:00:00.000;1990-06-06T00:00:00.000;2008-10-31T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;32077;2;3405;1650;op r. balk onder motorkap;0;;;;;;;;;;;;
00RR11;Personenauto;FERRARI;DINO 308 GT 4;19990314;20230121;Niet geregistreerd;BLAUW;Niet geregistreerd;8;1270;1370;19770429;19770429;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;0;0;0.00;255;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;1999-03-14T00:00:00.000;2023-01-21T00:00:00.000;1977-04-29T00:00:00.000;1977-04-29T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;op r. balk onder motorkap;;;;;;;;;;;;;
00RXL3;Personenauto;FERRARI;CALIFORNIA;20230712;20150416;cabriolet;GRIJS;Niet geregistreerd;8;1775;1875;20110405;20110809;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;1;0.18;267;Nee;Ja;Nee;0;2022;Geen oordeel;05;Ja;2023-07-12T00:00:00.000;2015-04-16T00:00:00.000;2011-04-05T00:00:00.000;2011-08-09T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;43334;4;4297;2200;by achterzitting r.;;252221;F 149;e3*2001/116*0285*03;BD;EL;0;G;;;;;
00TLV6;Personenauto;FERRARI;360 MODENA;20230521;20210529;coupe;ROOD;Niet geregistreerd;8;1375;1475;20000118;20120227;Geen verstrekking in Open Data;Ja;2;4;;;;;M1;1720;;0.20;260;Nee;Nee;Nee;;2022;Geen oordeel;05;Ja;2023-05-21T00:00:00.000;2021-05-29T00:00:00.000;2000-01-18T00:00:00.000;2012-02-27T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;43641;2;3586;1720;r. bodemplaat a. voorzitting;0;;;;;;;;;;;;
01HHHD;Personenauto;FERRARI;TESTAROSSA U9;20240113;20010807;coupe;ROOD;Niet geregistreerd;12;1700;1800;19910726;20010807;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1840;0;0.16;255;Nee;Nee;Nee;0;2021;Geen oordeel;05;Ja;2024-01-13T00:00:00.000;2001-08-07T00:00:00.000;1991-07-26T00:00:00.000;2001-08-07T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;12389;;4943;1840;op r. balk onder motorkap;;;;;;;;;;;;;
01PDNG;Personenauto;FERRARI;348 TS U9;20070613;20060623;coupe;ROOD;Niet geregistreerd;8;1480;1580;19920224;20040528;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;1680;0;0.00;245;Nee;Nee;Nee;0;2006;Geen oordeel;05;Ja;2007-06-13T00:00:00.000;2006-06-23T00:00:00.000;1992-02-24T00:00:00.000;2004-05-28T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;35861;;3405;1680;op r. balk onder motorkap;0;;;;;;;;;;;;
01RTFS;Personenauto;FERRARI;360;20230319;20230114;coupe;GRIJS;Niet geregistreerd;8;1375;1475;20040726;20050817;Geen verstrekking in Open Data;Ja;2;4;0;0;448;0;M1;1720;0;0.20;260;Nee;Nee;Nee;0;2023;Geen oordeel;05;Ja;2023-03-19T00:00:00.000;2023-01-14T00:00:00.000;2004-07-26T00:00:00.000;2005-08-17T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;48840;2;3586;1720;op bodemplaat onder r. voorzitting;;;;e3*98/14*0043*06;AB;E;0;G;;;;;
01SHG9;Personenauto;FERRARI;CALIFORNIA;20221004;20110930;cabriolet;ROOD;Niet geregistreerd;8;1775;1875;20110930;20110930;Geen verstrekking in Open Data;Ja;2;4;0;0;456;0;M1;2200;1;0.18;267;Nee;Ja;Nee;0;2022;Logisch;00;Ja;2022-10-04T00:00:00.000;2011-09-30T00:00:00.000;2011-09-30T00:00:00.000;2011-09-30T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;54880;4;4297;2200;by achterzitting r.;;263156;F 149;e3*2001/116*0285*03;BD;EL;0;G;;;;;
