kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;bruto_bpm;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;cilinderinhoud;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;zuinigheidsclassificatie;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_last_onder_de_vooras_sen_tezamen_koppeling;maximum_ondersteunende_snelheid;type_gasinstallatie;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd
00GBD4;Personenauto;HYUNDAI;I 10;20230811;20220812;1215;MPV;5;BLAUW;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080628;20080628;Geen verstrekking in Open Data;10660;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-08-11T00:00:00.000;2022-08-12T00:00:00.000;2008-06-28T00:00:00.000;2008-06-28T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GBD5;Personenauto;HYUNDAI;I 10;20240204;20190201;647;MPV;5;ROOD;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080530;20080530;Geen verstrekking in Open Data;8494;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2023;Logisch;00;Ja;2024-02-04T00:00:00.000;2019-02-01T00:00:00.000;2008-05-30T00:00:00.000;2008-05-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GBR6;Personenauto;HYUNDAI;I 30;20240125;20180716;3665;MPV;5;GRIJS;Niet geregistreerd;4;1591;1168;1720;1268;550;1200;20080530;20080530;Geen verstrekking in Open Data;20005;Ja;4;4;0;0;425;0;M1;op dwarsbalk by r. voorzitting;1720;FD;e11*2001/116*0313*06;B5P61;M52AZ1;0;0.07;265;Nee;Nee;Nee;2920;0;2022;Logisch;00;Ja;2024-01-25T00:00:00.000;2018-07-16T00:00:00.000;2008-05-30T00:00:00.000;2008-05-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GBR7;Personenauto;HYUNDAI;TUCSON;20240109;20130111;6058;MPV;5;ZWART;Niet geregistreerd;4;1975;1437;2050;1537;500;1400;20080527;20080527;Geen verstrekking in Open Data;26034;Ja;4;4;0;0;433;0;M1;r. op dwarsbalk onder voorzitting;2050;;e4*2001/116*0087*09;ADZ;V;0;0.07;263;Nee;Nee;Nee;3450;0;2023;Logisch;00;Ja;2024-01-09T00:00:00.000;2013-01-11T00:00:00.000;2008-05-27T00:00:00.000;2008-05-27T00:00:00.000;D;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GDG3;Personenauto;HYUNDAI;COUPE;20240102;20191123;6829;sedan;4;ZWART;Niet geregistreerd;6;2656;1308;1740;1408;550;1400;20030708;20080613;Geen verstrekking in Open Data;;Ja;2;4;0;0;440;0;M1;midden tegen schutbord onder motorkap;1740;;e11*98/14*0186*00;F1;Z;0;0.09;253;Nee;Nee;Nee;3140;0;2023;Geen oordeel;05;Ja;2024-01-02T00:00:00.000;2019-11-23T00:00:00.000;2003-07-08T00:00:00.000;2008-06-13T00:00:00.000;G;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;;;;;
00GDH7;Personenauto;HYUNDAI;I 10;20230530;20140424;753;MPV;5;BLAUW;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080530;20080530;Geen verstrekking in Open Data;8899;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2022;Logisch;00;Ja;2023-05-30T00:00:00.000;2014-04-24T00:00:00.000;2008-05-30T00:00:00.000;2008-05-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GDP3;Personenauto;HYUNDAI;I 10;20240222;20221224;963;MPV;5;BLAUW;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080530;20080530;Geen verstrekking in Open Data;9699;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2023;Logisch;00;Ja;2024-02-22T00:00:00.000;2022-12-24T00:00:00.000;2008-05-30T00:00:00.000;2008-05-30T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GDV3;Personenauto;HYUNDAI;I 10;20240313;20220601;743;MPV;5;BLAUW;Niet geregistreerd;4;1086;900;1405;1000;400;700;20080531;20080531;Geen verstrekking in Open Data;8859;Ja;4;4;0;0;357;0;M1;r. dwarsbalk by voorzitting;1405;PA;e4*2001/116*0131*00;F5P11;M51AZ1;0;0.05;238;Nee;Nee;Nee;2105;0;2023;Logisch;00;Ja;2024-03-13T00:00:00.000;2022-06-01T00:00:00.000;2008-05-31T00:00:00.000;2008-05-31T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GFG5;Personenauto;HYUNDAI;I 30CW;20230917;20220916;3873;MPV;5;ZWART;Niet geregistreerd;4;1591;1211;1820;1311;550;1200;20080604;20080604;Geen verstrekking in Open Data;20795;Ja;4;4;0;0;448;0;M1;op dwarsbalk by r. voorzitting;1820;FD;e11*2001/116*0313*06;F5P61;M52AZ1;0;0.07;270;Nee;Ja;Nee;3020;0;2022;Logisch;00;Ja;2023-09-17T00:00:00.000;2022-09-16T00:00:00.000;2008-06-04T00:00:00.000;2008-06-04T00:00:00.000;B;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
00GFN7;Personenauto;HYUNDAI;TUCSON;20240104;20181201;9544;MPV;5;GRIJS;Niet geregistreerd;6;2656;1568;2190;1668;750;1600;20080612;20080612;Geen verstrekking in Open Data;35530;Ja;4;4;0;0;433;0;M1;r. op dwarsbalk onder voorzitting;2190;;e4*2001/116*0087*09;BFZ;U;0;0.08;263;Nee;Nee;Nee;3790;0;2023;Logisch;00;Ja;2024-01-04T00:00:00.000;2018-12-01T00:00:00.000;2008-06-12T00:00:00.000;2008-06-12T00:00:00.000;F;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;
