kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;cilinderinhoud;vervaldatum_apk;vervaldatum_apk_dt;toegestane_maximum_massa_voertuig;laadvermogen;aantal_zitplaatsen;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;bruto_bpm;catalogusprijs;type;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;zuinigheidsclassificatie;maximum_ondersteunende_snelheid;type_gasinstallatie
0003TH;Personenauto;PEUGEOT;304 BO 1;19850422;Niet geregistreerd;GRIJS;Niet geregistreerd;4;870;970;19711022;19711022;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;231;Nee;Nee;Nee;0;2012;Geen oordeel;01;Ja;1985-04-22T00:00:00.000;1971-10-22T00:00:00.000;1971-10-22T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0004PS;Personenauto;PEUGEOT;304 BO 1;20220224;Niet geregistreerd;Niet geregistreerd;Niet geregistreerd;4;870;970;19701104;19701104;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;231;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2022-02-24T00:00:00.000;1970-11-04T00:00:00.000;1970-11-04T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0004VS;Personenauto;PEUGEOT;504 B 12;19810828;Niet geregistreerd;WIT;Niet geregistreerd;4;1180;1280;19730103;19730103;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;255;Nee;Nee;Nee;0;2021;Geen oordeel;01;Ja;1981-08-28T00:00:00.000;1973-01-03T00:00:00.000;1973-01-03T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0005PS;Personenauto;PEUGEOT;504 B 12;20170904;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1180;1280;19701013;19701013;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. op voorwielscherm onder motorkap;0;0;0.00;255;Nee;Nee;Nee;0;2020;Geen oordeel;01;Ja;2017-09-04T00:00:00.000;1970-10-13T00:00:00.000;1970-10-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0006NA;Personenauto;PEUGEOT;204 CABRIOLET;20210812;cabriolet;BLAUW;Niet geregistreerd;4;840;940;19700413;19700413;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;r. onder motorkap;0;0;0.05;231;Nee;Nee;Nee;0;2016;Geen oordeel;01;Ja;2021-08-12T00:00:00.000;1970-04-13T00:00:00.000;1970-04-13T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;1130;;;;;;;;;;;;;;;;;;;
0006NF;Personenauto;PEUGEOT;504 C02;20170310;Niet geregistreerd;GRIJS;Niet geregistreerd;4;1170;1270;19700506;19700506;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;255;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;2017-03-10T00:00:00.000;1970-05-06T00:00:00.000;1970-05-06T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0007XD;Personenauto;PEUGEOT;304 CABRIOLET S;20190525;Niet geregistreerd;WIT;Niet geregistreerd;4;900;1000;19730109;19730109;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;230;Nee;Nee;Nee;0;2022;Geen oordeel;01;Ja;2019-05-25T00:00:00.000;1973-01-09T00:00:00.000;1973-01-09T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0010HX;Personenauto;PEUGEOT;204 COUPE;20230118;Niet geregistreerd;BEIGE;Niet geregistreerd;4;870;970;19690411;19690411;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;op r. voorwielscherm onder motorkap;0;0;0.00;231;Nee;Nee;Nee;0;2016;Geen oordeel;01;Ja;2023-01-18T00:00:00.000;1969-04-11T00:00:00.000;1969-04-11T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0013HX;Personenauto;PEUGEOT;204 CABRIOLET;19950228;Niet geregistreerd;BLAUW;Niet geregistreerd;4;840;940;19690327;19690327;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;;0;0;0.00;231;Nee;Nee;Nee;0;;Niet geregistreerd;NG;Ja;1995-02-28T00:00:00.000;1969-03-27T00:00:00.000;1969-03-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
0015PS;Personenauto;PEUGEOT;304 BO 1;19930719;Niet geregistreerd;BLAUW;Niet geregistreerd;4;870;970;19710401;19710401;Geen verstrekking in Open Data;Ja;2;4;0;0;0;0;M1;;0;0;0.00;231;Nee;Nee;Nee;0;2019;Geen oordeel;01;Ja;1993-07-19T00:00:00.000;1971-04-01T00:00:00.000;1971-04-01T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;
