kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;vervaldatum_apk;bruto_bpm;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;vervaldatum_apk_dt;catalogusprijs;zuinigheidsclassificatie;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;maximum_last_onder_de_vooras_sen_tezamen_koppeling;type;maximum_ondersteunende_snelheid;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;hoogte_voertuig;type_gasinstallatie;maximale_constructiesnelheid
0078PE;Personenauto;PORSCHE;911T;19970515;Niet geregistreerd;ZWART;Niet geregistreerd;6;1045;1145;19710913;19710913;Geen verstrekking in Open Data;Nee;2;4;0;0;0;0;M1;boven vooras in kofferruimte;0;0;0.00;227;Nee;Nee;Nee;0;Niet geregistreerd;NG;Ja;1997-05-15T00:00:00.000;1971-09-13T00:00:00.000;1971-09-13T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;
00GNH4;Personenauto;PORSCHE;986 BOXSTER;20180124;cabriolet;ZWART;Niet geregistreerd;6;1225;1325;19990528;20080729;Geen verstrekking in Open Data;Nee;2;4;0;0;432;0;M1;r. tegen schutbord in kofferruimte;1560;1;0.11;242;Nee;Nee;Nee;0;Geen oordeel;05;Ja;2018-01-24T00:00:00.000;1999-05-28T00:00:00.000;2008-07-29T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20180416;16338;2;2480;1560;e13*98/14*0020*03;KA11;02;0;2018;2018-04-16T00:00:00.000;;;;;;;;;;;;
00GRX7;Personenauto;PORSCHE;986 BOXSTER;20221112;cabriolet;ZWART;Niet geregistreerd;6;1235;1335;20000314;20080819;Geen verstrekking in Open Data;Ja;2;4;0;0;432;0;M1;r. tegen schutbord in kofferruimte;1570;1;0.12;242;Nee;Nee;Nee;0;Geen oordeel;05;Ja;2022-11-12T00:00:00.000;2000-03-14T00:00:00.000;2008-08-19T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230830;15629;2;2687;1570;e13*98/14*0020*04;KB11;02;0;2022;2023-08-30T00:00:00.000;;;;;;;;;;;;
00HLB5;Personenauto;PORSCHE;911 CARRERA 4S;20211229;coupe;ZWART;Niet geregistreerd;6;1490;1590;20090108;20090108;Geen verstrekking in Open Data;Ja;2;4;0;0;443;0;M1;r. tegen schutbord in kofferruimte;1920;1;0.16;235;Nee;Nee;Nee;0;Logisch;00;Ja;2021-12-29T00:00:00.000;2009-01-08T00:00:00.000;2009-01-08T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230922;41140;4;3824;1920;e13*2001/116*0137*06;CB22;01;0;2022;2023-09-22T00:00:00.000;142158;G;;;;;;;;;;
00JGV1;Personenauto;PORSCHE;911 TURBO;20220121;cabriolet;ZWART;Niet geregistreerd;6;1665;1765;20071004;20090520;Geen verstrekking in Open Data;Ja;2;4;0;0;445;0;M1;r. tegen schutbord in kofferruimte;2035;0;0.20;235;Nee;Nee;Nee;0;Geen oordeel;05;Ja;2022-01-21T00:00:00.000;2007-10-04T00:00:00.000;2009-05-20T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230107;53477;4;3600;2035;e13*2001/116*0177*02;MU22;01;0;2022;2023-01-07T00:00:00.000;;G;;;;;;;;;;
00LFR9;Personenauto;PORSCHE;911 CARRERA 4S;20210527;cabriolet;ZWART;Niet geregistreerd;6;1535;1635;20080505;20100406;Geen verstrekking in Open Data;Ja;2;4;0;0;443;0;M1;r. tegen schutbord in kofferruimte;1930;1;0.16;235;Nee;Nee;Nee;0;Geen oordeel;05;Ja;2021-05-27T00:00:00.000;2008-05-05T00:00:00.000;2010-04-06T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230621;43680;4;3824;1930;e13*2001/116*0137*06;KB21;01;0;2022;2023-06-21T00:00:00.000;;G;;;;;;;;;;
00LNK1;Personenauto;PORSCHE;911 CARRERA 4;20200911;cabriolet;ZWART;Niet geregistreerd;6;1425;1525;19991109;20100526;Geen verstrekking in Open Data;Ja;2;4;0;0;443;0;M1;r. tegen schutbord in kofferruimte;1850;1;0.14;235;Nee;Nee;Nee;0;Onlogisch;04;Ja;2020-09-11T00:00:00.000;1999-11-09T00:00:00.000;2010-05-26T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230519;33114;4;3387;1850;e13*98/14*0031*06;KE21;01;0;2022;2023-05-19T00:00:00.000;;;;;;;;;;;;
00LRN3;Personenauto;PORSCHE;CAYENNE S;20190411;MPV;ZWART;Niet geregistreerd;8;2220;2320;20060102;20100615;Geen verstrekking in Open Data;Ja;4;4;;;;;M1;r. bodemplaat kofferruimte;3060;;0.11;284;Nee;Nee;Nee;;Geen oordeel;05;Ja;2019-04-11T00:00:00.000;2006-01-02T00:00:00.000;2010-06-15T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20220518;3409;5;4511;3060;;;;;2021;2022-05-18T00:00:00.000;;;750;3500;0;;;;;;;
00LVN6;Personenauto;PORSCHE;911 CARRERA 4S;20140805;coupe;ZWART;Niet geregistreerd;6;1485;1585;20100703;20100703;Geen verstrekking in Open Data;Ja;2;4;0;0;444;0;M1;r. schutbord by kofferruimte;1910;0;0.18;235;Nee;Nee;Nee;0;Logisch;00;Ja;2014-08-05T00:00:00.000;2010-07-03T00:00:00.000;2010-07-03T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230518;41561;4;3800;1910;e13*2001/116*0137*13;CE22;05;0;2022;2023-05-18T00:00:00.000;180656;G;;;;997;;;;;;
00LXT5;Personenauto;PORSCHE;911 CARRERA 4S;20150508;cabriolet;ZWART;Niet geregistreerd;6;1570;1670;20100722;20100722;Geen verstrekking in Open Data;Ja;2;4;0;0;444;0;M1;r. schutbord by kofferruimte;1970;0;0.17;235;Nee;Nee;Nee;0;Logisch;00;Ja;2015-05-08T00:00:00.000;2010-07-22T00:00:00.000;2010-07-22T00:00:00.000;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;20230806;41936;4;3800;1970;e13*2001/116*0137*13;KE22;05;0;2022;2023-08-06T00:00:00.000;180472;G;;;;997;;;;;;
